"Warhammer 40,000: 星际战士2",https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2183900/capsule_sm_120_schinese.jpg?t=1726768387,"[""win""]",2024 年 9 月 10 日,"特别好评 此游戏的 61,969 篇用户评测中有 81% 为好评。",0,0,249.00,https://store.steampowered.com/app/2183900/Warhammer_40000_2/?snr=1_7_7_230_150_1
七日世界,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2139460/217e3d43765eb3c8645f3bb3762bc210120c1265/capsule_sm_120_schinese.jpg?t=1726753673,"[""win""]",2024 年 7 月 10 日,"多半好评 此游戏的 88,827 篇用户评测中有 72% 为好评。",0,0,0,https://store.steampowered.com/app/2139460/_/?snr=1_7_7_230_150_1
Dota 2,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/570/capsule_sm_120.jpg?t=1724428927,"[""win"", ""mac"", ""linux""]",2013 年 7 月 10 日,"特别好评 此游戏的 2,322,469 篇用户评测中有 81% 为好评。",0,0,0,https://store.steampowered.com/app/570/Dota_2/?snr=1_7_7_230_150_1
猛兽派对,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1260320/ed70ed0130967c30d8937a4153bb1acb16a463ad/capsule_sm_120_alt_assets_2.jpg?t=1726828129,"[""win""]",2023 年 9 月 20 日,"多半好评 此游戏的 38,155 篇用户评测中有 77% 为好评。",50,98.0,49.00,https://store.steampowered.com/app/1260320/_/?snr=1_7_7_230_150_1
女神异闻录３ Reload,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2161700/capsule_sm_120.jpg?t=1725556209,"[""win""]",2024 年 2 月 2 日,"特别好评 此游戏的 19,192 篇用户评测中有 94% 为好评。",60,298.0,178.80,https://store.steampowered.com/app/2161700/3_Reload/?snr=1_7_7_230_150_1
FINAL FANTASY XVI,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/2515020/capsule_sm_120.jpg?t=1726590088,"[""win""]",2024 年 9 月 17 日,"多半好评 此游戏的 3,183 篇用户评测中有 77% 为好评。",0,0,298.00,https://store.steampowered.com/app/2515020/FINAL_FANTASY_XVI/?snr=1_7_7_230_150_1
Warframe,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/230410/capsule_sm_120.jpg?t=1725378067,"[""win""]",2013 年 3 月 26 日,"特别好评 此游戏的 591,492 篇用户评测中有 87% 为好评。  此产品在一个或多个时间段内出现跑题评测活动。这些时间段内的评测已按您的偏好设置不计入此产品的评测分数。",0,0,0,https://store.steampowered.com/app/230410/Warframe/?snr=1_7_7_230_150_1
Baldur's Gate 3,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1086940/capsule_sm_120.jpg?t=1725654125,"[""win"", ""mac""]",2023 年 8 月 3 日,"好评如潮 此游戏的 582,354 篇用户评测中有 96% 为好评。",0,0,298.00,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_230_150_1
《战地风云 5》,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/1238810/capsule_sm_120.jpg?t=1701356409,"[""win""]",2020 年 10 月 22 日,"多半好评 此游戏的 196,818 篇用户评测中有 70% 为好评。",15,228.0,34.20,https://store.steampowered.com/app/1238810/_5/?snr=1_7_7_230_150_1
Stardew Valley,https://shared.cdn.queniuqe.com/store_item_assets/steam/apps/413150/capsule_sm_120.jpg?t=1711128146,"[""win"", ""mac"", ""linux""]",2016 年 2 月 27 日,"好评如潮 此游戏的 643,890 篇用户评测中有 98% 为好评。",0,0,48.00,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_1
